authorId,name,aliases,citationCount,papers,fieldsOfStudy
5331367,Emmanouil Dermitzakis,['Emmanouil Manolis Dermitzakis'],50,,None
7664541,M. Stoffel,"['Martin A. Stoffel', 'Martin A Stoffel', 'M A Stoffel', 'M.a. Stoffel', 'Martin Adam Stoffel', 'M. A. Stoffel', 'M. Stoffel']",1389,,Psychology
145440320,Hongjun Gao,"['Hong-jun Gao', 'Hong‐jun Gao']",17833,,Physics
5554263,S. Corning,"['Sue Corning', 'Susan L. Corning', 'S. Corning', 'Susan Corning', 'S Corning']",909,,None
2118927854,Shubham Gupta,,131,,Physics
143976157,H. Simonis,"['H Simonis', 'H. Simonis', 'Helmut Simonis']",2854,,None
35330701,K. Takanashi,"['K. Takanashi', 'Katsuya Takanashi']",598,,Sociology
2148767609,C. Lai,"['C. Lai', 'C. Y Lai', 'Courtenay Lai', 'C Lai']",58,,None
145204677,H. V. Ribeiro,"['H.v. Ribeiro', 'Haroldo Valentin Ribeiro', 'Haroldo V Ribeiro', 'H. V. Ribeiro', 'Haroldo V. Ribeiro', 'H V Ribeiro', 'Haroldo Valetin Ribeiro']",2156,,Sociology
1748889728,Holger Lutz Kern,,44,,Economics
2068727384,R. Winter,"['R. Winter', 'Robert Winter']",3,,None
3597245,Siyan Yi,,2063,,Psychology
1404974655,S. Mivcanovi'c,,412,,Physics
3411422,M. Gessler,"['M Gessler', 'M. Gessler', 'Manfred Gessler']",14369,,Psychology
152539641,Merufa Khatun,,26,,Medicine
1728619,Chanhyun Kang,['Chan-woo Kang'],270,,None
2456494,Christophe Bovigny,,328,,None
2060104394,D. Gibson,"['D A Gibson', 'Dave Gibson', 'David Andrew Gibson', 'David Gibson']",310,,None
71711049,Tan Soo Jiuan,,419,,Sociology
121670292,J. de Wolf,"['J De Wolf', 'J. De Wolf', 'Julie De Wolf', 'Julien De Wolf']",383,,None
47425801,G. Malaguarnera,"['G Malaguarnera', 'G. Malaguarnera', 'Giulia Malaguarnera']",4400,,Psychology
3603131,G. Jóhannesson,"['G. Anton Johannesson', 'Guðlaugur Jóhannesson', 'Gudlaugur Johannesson', 'Gudlaugur Jóhannesson', 'G. Jøhannesson', 'G Jóhannesson', 'Guđlaugur Jóhannesson', 'G. Jóhannesson', 'G. Johannesson', 'Guðlaugur. Jóhannesson']",33343,,Physics
50983188,Christi Merrill,"['Christi A. Merrill', 'Chris Merrill', 'Christian Merrill', 'Chris A Merrill', 'Christian A Merrill', 'Chris A. Merrill', 'Christi Ann Merrill', 'Christian A. Merrill']",135,,Sociology
46921746,Y. Bi,"['Y Bi', 'Yan Lei Bi', 'Yanchao Bi', 'Yan Bi']",3,,Physics
145858876,M. Monreal,"['M. Monreal', 'Manel Monreal', 'M Monreal', 'Manuel Monreal', 'M. Ferrer Monreal', 'Manuel Monréal']",21950,,None
67044763,B. Nguyen,"['B. Nguyen', 'Benjamin Nguyen', 'Benjamin. Nguyen']",590,,None
103170473,B. Leurs,"['B Leurs', 'Bart Leurs', 'B.w.a. Leurs', 'B. W. A. Leurs', 'B. A. Leurs']",124,,Sociology
1752794486,Brin Rosenthal,['Brin Sara Rosenthal'],9,,None
3586131,R. Wolterman,"['R. A. Wolterman', 'R A Wolterman', 'R. Wolterman', 'R Wolterman', 'Ruud Wolterman', 'Ruud A Wolterman', 'Ruud A. Wolterman']",2198,,None
1819461,Mark A. Finlayson,"['Mark A Finlayson', 'M. A. Finlayson', 'Mark Alan Finlayson', 'Mark A. Finlayson', 'Mark Finlayson']",839,,Psychology
5913558,C. Favuzzi,"['C Favuzzi', 'C. Favuzzi', 'Cecilia Favuzzi']",36113,,Physics
46188113,Andrea Tirinzoni,,282,,Psychology
2054750553,C. Chong,"['C. F. Chong', 'Chen Chong']",1,,Sociology
3058506,Kevin A. Henry,"['Kevin A Henry', 'Kevin Henry']",3270,,None
2066745886,P. England,"['P. England', 'Paul England']",0,,Political Science
9866836,H. Lim,"['H. S. Lim', 'Hong Seok Lim', 'Hong‐seok Lim', 'Hong-seok Lim']",1913,,None
103036311,W. Bianco,"['W. T. Bianco', 'William Bianco', 'William T. Bianco']",1245,,Sociology
6888909,M. Atari,"['Mohammad Atari', 'M M Ahmadian Atari', 'M Atari', 'Mohammadali Atari', 'Mohammad A Atari']",1043,,Sociology
73345958,S. Barbone,"['S. Barbone', 'Steven Barbone', 'S Barbone', 'Steve Barbone', 'Steven L. Barbone']",116,,Sociology
6260416,I. Fritsch,"['I Fritsch', 'I. Fritsch', 'Ingrid Fritsch']",1378,,Physics
6932990,Travis L. Stiles,"['Travis L Stiles', 'Travis Stiles']",482,,None
50186582,M. Schreiber,"['M Schreiber', 'M. D. Schreiber', 'Michael D Schreiber', 'M. D. Abraham Schreiber', 'Michael Schreiber', 'M.d. Schreiber', 'M D Schreiber', 'Michael D. Schreiber']",3616,,Psychology
